ReactionG_PD_Edges,ReactionG_PD_Vertices,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeMEAN,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PD_Density,ReactionG_PD_Reciprocity,SpeciesG_PD_Edges,SpeciesG_PD_Vertices,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,0,1,0.5,0,1,0.5,1,1,1,1,0,0,0.25,0,2,2,2,2,2,2,2,2,2,MC2
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,0,1,0.5,0,1,0.5,1,1,1,1,0,0,0.25,0,2,2,2,2,2,2,2,2,2,MC2
3,2,1,2,1.5,1,2,1.5,2,2,2,1,0,0,0.75,0.666666667,2,3,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,1,1,0,0.222222222,0,6,2,2,2,4,2,2,2,4,MC2
3,2,1,2,1.5,1,2,1.5,2,2,2,1,0,0,0.75,0.666666667,2,3,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,1,1,0,0.222222222,0,6,2,2,2,4,2,2,2,4,MC2
5,2,2,3,2.5,2,3,2.5,3,4,3.5,1,0,0,1.25,1,4,4,0,2,1,0,2,1,1,4,2,1,1,0,0.25,0.5,8,3,3,3,6,3,3,3,6,MC2
2,2,1,1,1,1,1,1,1,1,1,2,0,0,0.5,1,2,4,0,1,0.5,0,1,0.5,1,1,1,2,0,0,0.125,0,8,2,2,2,4,2,2,2,4,MC2
4,2,1,3,2,2,2,2,2,3,2.5,1,0,0,1,0.75,3,4,0,1,0.75,0,2,0.75,1,3,1.5,1,1,0,0.1875,0,8,2,2.5,3,5,2,2.5,3,5,MC2
9,3,3,3,3,3,3,3,5,5,5,1,0,0,1,1,3,2,1,2,1.5,1,2,1.5,3,3,3,1,0,0,0.75,0.666666667,6,2,2,2,6,2,2,2,6,MRMC
6,3,2,2,2,2,2,2,3,3,3,1,0,0,0.666666667,0.5,3,3,1,1,1,1,1,1,2,2,2,1,0,0,0.333333333,0,9,2,2,2,6,2,2,2,6,MRMC
9,3,3,3,3,3,3,3,5,5,5,1,0,0,1,1,3,4,0,3,0.75,0,1,0.75,1,3,1.5,1,1,0,0.1875,0,12,2,2,2,6,2,2,2,6,MC2
5,3,1,2,1.666666667,1,2,1.666666667,2,3,2.333333333,1,1,0,0.555555556,0.6,3,4,0,1,0.75,0,1,0.75,1,2,1.5,1,2,0,0.1875,0,12,2,2,2,6,2,2,2,6,PLASMA
9,3,2,4,3,2,5,3,3,7,4.666666667,1,1,0,1,0.888888889,6,4,0,3,1.5,0,2,1.5,2,4,3,1,0,0,0.375,0.333333333,12,3,3,3,9,3,3,3,9,MC2
5,3,1,2,1.666666667,1,2,1.666666667,2,3,2.333333333,1,1,0,0.555555556,0.6,3,4,0,1,0.75,0,1,0.75,1,2,1.5,1,2,0,0.1875,0,12,2,2,2,6,2,2,2,6,PLASMA
7,3,2,3,2.333333333,2,3,2.333333333,3,4,3.333333333,1,0,0,0.777777778,0.571428571,5,5,0,2,1,0,2,1,1,3,2,1,2,0,0.2,0,15,2,2.666666667,3,8,2,2.666666667,3,8,PLASMA
12,4,3,3,3,2,4,3,4,6,5,1,0,0,0.75,0.833333333,4,3,1,2,1.333333333,1,2,1.333333333,2,4,2.666666667,1,1,0,0.444444444,1,12,2,2,2,8,2,2,2,8,MRMC
12,4,3,3,3,2,4,3,4,6,5,1,0,0,0.75,0.833333333,4,3,1,2,1.333333333,1,2,1.333333333,2,4,2.666666667,1,1,0,0.444444444,1,12,2,2,2,8,2,2,2,8,MRMC
4,2,1,3,2,2,2,2,2,3,2.5,1,0,0,1,0.75,4,5,0,2,0.8,0,2,0.8,1,4,1.6,1,1,0,0.16,0,10,3,3,3,6,3,3,3,6,MC2
14,3,4,5,4.666666667,4,5,4.666666667,6,8,7.333333333,1,0,0,1.555555556,1,10,6,0,4,1.666666667,0,4,1.666666667,2,6,3.333333333,1,0,0,0.277777778,0.2,18,3,3.666666667,4,11,3,3.666666667,4,11,MC2
12,4,3,3,3,2,4,3,4,6,5,1,0,0,0.75,0.833333333,4,3,1,2,1.333333333,1,2,1.333333333,2,4,2.666666667,1,1,0,0.444444444,1,12,2,2,2,8,2,2,2,8,MRMC
3,3,1,1,1,1,1,1,1,1,1,3,0,0,0.333333333,1,3,6,0,1,0.5,0,1,0.5,1,1,1,3,0,0,0.083333333,0,18,2,2,2,6,2,2,2,6,MC2
12,4,3,3,3,2,4,3,4,6,5,1,0,0,0.75,0.833333333,4,3,1,2,1.333333333,1,2,1.333333333,2,4,2.666666667,1,1,0,0.444444444,1,12,2,2,2,8,2,2,2,8,MRMC
12,4,3,3,3,2,4,3,4,6,5,1,0,0,0.75,0.833333333,4,3,1,2,1.333333333,1,2,1.333333333,2,4,2.666666667,1,1,0,0.444444444,1,12,2,2,2,8,2,2,2,8,MRMC
8,4,1,3,2,2,2,2,2,4,3,1,2,0,0.5,0.75,4,4,0,2,1,0,2,1,2,2,2,1,0,0,0.25,0,16,2,2,2,8,2,2,2,8,MC2
4,2,1,3,2,2,2,2,2,3,2.5,1,0,0,1,0.75,4,5,0,2,0.8,0,2,0.8,1,4,1.6,1,1,0,0.16,0,10,3,3,3,6,3,3,3,6,MC2
4,2,1,3,2,2,2,2,2,3,2.5,1,0,0,1,0.75,4,5,0,2,0.8,0,2,0.8,1,4,1.6,1,1,0,0.16,0,10,3,3,3,6,3,3,3,6,MC2
4,2,1,3,2,2,2,2,2,3,2.5,1,0,0,1,0.75,4,5,0,2,0.8,0,2,0.8,1,4,1.6,1,1,0,0.16,0,10,3,3,3,6,3,3,3,6,MC2
8,3,2,3,2.666666667,1,4,2.666666667,3,5,4,1,0,0,0.888888889,0.75,7,6,0,4,1.166666667,0,3,1.166666667,1,5,2.333333333,1,1,0,0.194444444,0,18,2,3,4,9,2,3,4,9,MC2
24,4,3,8,6,5,9,6,7,13,10,1,0,0,1.5,0.833333333,9,4,0,5,2.25,0,3,2.25,1,7,4,1,1,0,0.5625,0.444444444,16,2,3,4,12,2,3,4,12,MC2
9,4,1,3,2.25,1,4,2.25,2,4,3.5,1,1,0,0.5625,0.666666667,4,4,0,2,1,0,3,1,1,4,2,1,1,0,0.25,0,16,2,2,2,8,2,2,2,8,MC2
10,3,3,4,3.333333333,2,4,3.333333333,4,6,5,1,0,0,1.111111111,0.9,8,5,1,2,1.6,1,2,1.6,2,4,3.2,1,0,0,0.32,0.5,15,3,3.333333333,4,10,3,3.333333333,4,10,PLASMA
7,4,1,2,1.75,1,2,1.75,2,3,2.5,1,2,0,0.4375,0.571428571,4,5,0,1,0.8,0,1,0.8,1,2,1.6,1,3,0,0.16,0,20,2,2,2,8,2,2,2,8,PLASMA
7,4,1,2,1.75,1,2,1.75,2,3,2.5,2,0,0,0.4375,0.857142857,4,5,0,1,0.8,0,1,0.8,1,2,1.6,2,1,0,0.16,0.5,20,2,2,2,8,2,2,2,8,MRMC
19,4,4,5,4.75,4,6,4.75,7,9,7.75,1,0,0,1.1875,0.894736842,7,5,1,3,1.4,0,2,1.4,1,5,2.8,1,2,0,0.28,0.571428571,20,2,2.75,3,11,2,2.75,3,11,MC2
6,4,1,2,1.5,1,2,1.5,2,2,2,2,0,0,0.375,0.666666667,4,6,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,2,1,0,0.111111111,0,24,2,2,2,8,2,2,2,8,PLASMA
7,4,1,2,1.75,1,2,1.75,2,3,2.5,1,2,0,0.4375,0.571428571,4,5,0,1,0.8,0,1,0.8,1,2,1.6,1,3,0,0.16,0,20,2,2,2,8,2,2,2,8,PLASMA
13,4,2,4,3.25,2,5,3.25,3,7,5,1,1,0,0.8125,0.769230769,7,6,0,2,1.166666667,0,2,1.166666667,1,4,2.333333333,1,3,0,0.194444444,0.285714286,24,2,2.75,3,11,2,2.75,3,11,PLASMA
7,4,1,2,1.75,1,2,1.75,2,3,2.5,1,2,0,0.4375,0.571428571,4,5,0,1,0.8,0,1,0.8,1,2,1.6,1,3,0,0.16,0,20,2,2,2,8,2,2,2,8,PLASMA
6,4,1,2,1.5,1,2,1.5,2,2,2,2,0,0,0.375,0.666666667,4,6,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,2,1,0,0.111111111,0,24,2,2,2,8,2,2,2,8,MC2
6,4,1,2,1.5,1,2,1.5,2,2,2,2,0,0,0.375,0.666666667,4,6,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,2,1,0,0.111111111,0,24,2,2,2,8,2,2,2,8,MC2
6,4,1,2,1.5,1,2,1.5,2,2,2,2,0,0,0.375,0.666666667,4,6,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,2,1,0,0.111111111,0,24,2,2,2,8,2,2,2,8,MC2
18,5,3,4,3.6,2,5,3.6,4,8,6.2,1,0,0,0.72,0.833333333,5,3,1,2,1.666666667,1,3,1.666666667,2,5,3.333333333,1,1,0,0.555555556,0.8,15,2,2,2,10,2,2,2,10,MRMC
6,4,1,2,1.5,1,2,1.5,2,2,2,2,0,0,0.375,0.666666667,4,6,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,2,1,0,0.111111111,0,24,2,2,2,8,2,2,2,8,MC2
13,5,2,3,2.6,1,3,2.6,3,5,4.2,1,0,0,0.52,0.692307692,5,4,1,2,1.25,0,2,1.25,1,3,2.5,1,1,0,0.3125,0.4,20,2,2,2,10,2,2,2,10,MRMC
13,5,2,3,2.6,1,3,2.6,3,5,4.2,1,0,0,0.52,0.692307692,5,4,1,2,1.25,0,2,1.25,1,3,2.5,1,1,0,0.3125,0.4,20,2,2,2,10,2,2,2,10,MRMC
11,5,1,3,2.2,1,3,2.2,2,5,3.4,1,2,0,0.44,0.636363636,5,5,0,2,1,0,2,1,1,3,2,1,2,0,0.2,0,25,2,2,2,10,2,2,2,10,PLASMA
17,5,2,4,3.4,1,5,3.4,3,8,5.8,1,0,0,0.68,0.764705882,5,4,0,2,1.25,0,3,1.25,1,5,2.5,1,1,0,0.3125,0.4,20,2,2,2,10,2,2,2,10,MRMC
17,5,1,4,3.4,1,4,3.4,4,7,5.8,1,0,0,0.68,0.647058824,5,4,0,3,1.25,0,3,1.25,1,4,2.5,1,2,0,0.3125,0,20,2,2,2,10,2,2,2,10,MC2
12,5,1,4,2.4,2,3,2.4,2,5,3.8,1,2,0,0.48,0.75,5,6,0,2,0.833333333,0,1,0.833333333,1,3,1.666666667,1,3,0,0.138888889,0,30,2,2,2,10,2,2,2,10,MC2
11,5,1,3,2.2,2,3,2.2,3,4,3.4,2,0,0,0.44,0.818181818,5,5,0,2,1,0,2,1,1,3,2,2,1,0,0.2,0.4,25,2,2,2,10,2,2,2,10,MRMC
13,5,2,4,2.6,1,3,2.6,3,6,4.2,1,1,0,0.52,0.692307692,5,5,0,2,1,0,2,1,1,3,2,1,2,0,0.2,0,25,2,2,2,10,2,2,2,10,MC2
10,5,1,3,2,1,3,2,2,4,3,2,0,0,0.4,0.7,5,6,0,2,0.833333333,0,2,0.833333333,1,3,1.666666667,2,1,0,0.138888889,0,30,2,2,2,10,2,2,2,10,MC2
9,5,1,2,1.8,1,2,1.8,2,3,2.6,2,1,0,0.36,0.777777778,5,6,0,1,0.833333333,0,1,0.833333333,1,2,1.666666667,2,2,0,0.138888889,0.4,30,2,2,2,10,2,2,2,10,PLASMA
11,5,1,3,2.2,1,3,2.2,2,5,3.4,1,2,0,0.44,0.636363636,5,6,0,2,0.833333333,0,1,0.833333333,1,3,1.666666667,1,3,0,0.138888889,0,30,2,2,2,10,2,2,2,10,MC2
29,5,3,9,5.8,2,8,5.8,4,14,9.8,1,0,0,1.16,0.793103448,13,5,0,5,2.6,1,5,2.6,3,8,5,1,0,0,0.52,0.230769231,25,2,3.2,4,16,2,3.2,4,16,PLASMA
10,5,1,3,2,1,3,2,2,4,3,2,0,0,0.4,0.7,5,6,0,2,0.833333333,0,2,0.833333333,1,3,1.666666667,2,1,0,0.138888889,0,30,2,2,2,10,2,2,2,10,MC2
8,5,1,2,1.6,1,2,1.6,2,3,2.2,2,0,0,0.32,0.625,5,7,0,1,0.714285714,0,1,0.714285714,1,2,1.428571429,2,1,0,0.102040816,0,35,2,2,2,10,2,2,2,10,MC2
22,6,2,4,3.666666667,2,6,3.666666667,5,9,6.333333333,1,0,0,0.611111111,0.727272727,6,4,0,2,1.5,0,4,1.5,1,6,3,1,1,0,0.375,0.333333333,24,2,2,2,12,2,2,2,12,MRMC
22,6,2,4,3.666666667,2,6,3.666666667,5,9,6.333333333,1,0,0,0.611111111,0.727272727,6,4,0,2,1.5,0,4,1.5,1,6,3,1,1,0,0.375,0.333333333,24,2,2,2,12,2,2,2,12,MRMC
11,5,1,3,2.2,1,5,2.2,1,6,3.2,2,1,0,0.44,0.727272727,6,8,0,2,0.75,0,2,0.75,1,3,1.5,2,3,0,0.09375,0,40,2,2.2,3,11,2,2.2,3,11,MC2
15,5,2,4,3,1,5,3,2,7,4.6,1,2,0,0.6,0.866666667,9,7,0,3,1.285714286,0,4,1.285714286,1,5,2.571428571,1,3,0,0.183673469,0.222222222,35,2,2.6,4,13,2,2.6,4,13,PLASMA
16,6,2,4,2.666666667,2,4,2.666666667,3,5,4.333333333,2,0,0,0.444444444,0.75,6,5,0,2,1.2,0,2,1.2,2,4,2.4,2,1,0,0.24,0.333333333,30,2,2,2,12,2,2,2,12,MRMC
20,4,4,6,5,4,6,5,7,10,8.5,1,0,0,1.25,1,18,9,0,6,2,0,4,2,1,10,4,1,1,0,0.222222222,0.222222222,36,4,4.5,5,18,4,4.5,5,18,MC2
14,6,2,3,2.333333333,1,3,2.333333333,3,4,3.666666667,2,0,0,0.388888889,0.714285714,6,6,0,2,1,0,2,1,1,3,2,2,1,0,0.166666667,0,36,2,2,2,12,2,2,2,12,MC2
25,7,3,4,3.571428571,3,4,3.571428571,5,7,6.142857143,1,0,0,0.510204082,0.76,7,4,1,2,1.75,1,2,1.75,3,4,3.5,1,0,0,0.4375,0.857142857,28,2,2,2,14,2,2,2,14,PLASMA
10,5,1,3,2,1,3,2,2,3,2.6,2,1,0,0.4,0.7,7,9,0,1,0.777777778,0,2,0.777777778,1,3,1.555555556,2,3,0,0.086419753,0,45,2,2.4,3,12,2,2.4,3,12,PLASMA
18,6,1,5,3,2,4,3,2,7,5,1,2,0,0.5,0.777777778,6,6,0,3,1,0,2,1,1,4,2,1,3,0,0.166666667,0,36,2,2,2,12,2,2,2,12,MC2
11,6,1,2,1.833333333,1,2,1.833333333,2,3,2.666666667,3,0,0,0.305555556,0.909090909,6,7,0,1,0.857142857,0,1,0.857142857,1,2,1.714285714,3,1,0,0.12244898,0.666666667,42,2,2,2,12,2,2,2,12,PLASMA
12,6,1,3,2,1,3,2,2,4,3,2,0,0,0.333333333,0.666666667,6,7,0,2,0.857142857,0,2,0.857142857,1,3,1.714285714,2,1,0,0.12244898,0,42,2,2,2,12,2,2,2,12,MC2
12,6,1,3,2,1,3,2,2,4,3,2,0,0,0.333333333,0.666666667,6,7,0,2,0.857142857,0,2,0.857142857,1,3,1.714285714,2,1,0,0.12244898,0,42,2,2,2,12,2,2,2,12,MC2
12,6,1,3,2,1,3,2,2,4,3,2,0,0,0.333333333,0.666666667,6,7,0,2,0.857142857,0,2,0.857142857,1,3,1.714285714,2,1,0,0.12244898,0,42,2,2,2,12,2,2,2,12,MC2
16,6,1,3,2.666666667,1,5,2.666666667,1,6,4.166666667,2,0,0,0.444444444,0.6875,8,7,0,2,1.142857143,0,2,1.142857143,1,4,2.285714286,2,1,0,0.163265306,0.25,42,2,2.333333333,3,14,2,2.333333333,3,14,PLASMA
16,5,2,4,3.2,2,5,3.2,3,6,4.8,1,0,0,0.64,0.625,9,8,0,2,1.125,0,2,1.125,1,3,2.25,1,2,0,0.140625,0,40,2,2.8,3,14,2,2.8,3,14,PLASMA
10,6,1,2,1.666666667,1,2,1.666666667,2,3,2.333333333,3,0,0,0.277777778,0.8,6,8,0,1,0.75,0,1,0.75,1,2,1.5,3,0,0,0.09375,0.333333333,48,2,2,2,12,2,2,2,12,PLASMA
33,7,4,5,4.714285714,2,9,4.714285714,5,12,8.285714286,1,0,0,0.673469388,0.727272727,9,5,1,3,1.8,1,4,1.8,2,7,3.6,1,2,0,0.36,0.888888889,35,2,2.285714286,3,16,2,2.285714286,3,16,PLASMA
9,6,1,2,1.5,1,2,1.5,2,2,2,3,0,0,0.25,0.666666667,6,9,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,3,1,0,0.074074074,0,54,2,2,2,12,2,2,2,12,MC2
9,6,1,2,1.5,1,2,1.5,2,2,2,3,0,0,0.25,0.666666667,6,9,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,3,1,0,0.074074074,0,54,2,2,2,12,2,2,2,12,MC2
9,6,1,2,1.5,1,2,1.5,2,2,2,3,0,0,0.25,0.666666667,6,9,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,3,1,0,0.074074074,0,54,2,2,2,12,2,2,2,12,MC2
11,5,2,3,2.2,2,3,2.2,3,4,3.2,1,0,0,0.44,0.545454545,8,8,0,2,1,0,2,1,1,3,2,1,3,0,0.125,0,40,2,2.6,3,13,2,2.6,3,13,PLASMA
38,8,4,5,4.75,2,8,4.75,5,12,8.5,1,0,0,0.59375,0.736842105,8,4,1,3,2,1,5,2,2,8,4,1,1,0,0.5,0.75,32,2,2,2,16,2,2,2,16,PLASMA
24,6,2,6,4,4,4,4,5,8,6.5,1,0,0,0.666666667,0.625,9,6,0,3,1.5,1,2,1.5,1,4,2.5,1,3,0,0.25,0.333333333,36,2,2.5,3,15,2,2.5,3,15,PLASMA
9,6,1,2,1.5,1,2,1.5,2,2,2,3,0,0,0.25,0.666666667,6,9,0,1,0.666666667,0,1,0.666666667,1,2,1.333333333,3,1,0,0.074074074,0,54,2,2,2,12,2,2,2,12,MC2
22,7,2,4,3.142857143,2,5,3.142857143,3,8,5.285714286,2,0,0,0.448979592,0.863636364,7,5,1,2,1.4,1,3,1.4,2,5,2.8,2,1,0,0.28,0.857142857,35,2,2,2,14,2,2,2,14,PLASMA
23,7,1,4,3.285714286,1,6,3.285714286,1,9,5.571428571,2,0,0,0.469387755,0.739130435,7,6,0,2,1.166666667,0,4,1.166666667,1,6,2.333333333,2,1,0,0.194444444,0.285714286,42,2,2,2,14,2,2,2,14,MRMC
20,7,1,4,2.857142857,1,5,2.857142857,2,8,4.714285714,2,0,0,0.408163265,0.75,7,7,0,2,1,0,3,1,1,5,2,2,1,0,0.142857143,0.285714286,49,2,2,2,14,2,2,2,14,MC2
15,7,2,3,2.142857143,1,3,2.142857143,3,4,3.285714286,3,0,0,0.306122449,0.866666667,7,7,0,2,1,0,2,1,1,3,2,3,1,0,0.142857143,0.571428571,49,2,2,2,14,2,2,2,14,PLASMA
16,6,2,3,2.666666667,2,5,2.666666667,3,6,3.833333333,1,1,0,0.444444444,0.5625,11,10,0,2,1.1,0,3,1.1,1,4,2.2,1,3,0,0.11,0,60,2,2.833333333,3,17,2,2.833333333,3,17,PLASMA
27,8,3,4,3.375,1,4,3.375,3,7,5.75,1,0,0,0.421875,0.592592593,8,5,1,2,1.6,0,3,1.6,1,4,3.2,1,1,0,0.32,0.25,40,2,2,2,16,2,2,2,16,PLASMA
16,6,2,3,2.666666667,2,5,2.666666667,3,6,3.833333333,1,1,0,0.444444444,0.5625,11,10,0,2,1.1,0,3,1.1,1,4,2.2,1,3,0,0.11,0,60,2,2.833333333,3,17,2,2.833333333,3,17,PLASMA
24,8,1,5,3,2,4,3,2,8,5,1,4,0,0.375,0.833333333,8,6,0,4,1.333333333,0,4,1.333333333,2,4,2.666666667,1,0,0,0.222222222,0,48,2,2,2,16,2,2,2,16,PLASMA
13,7,1,3,1.857142857,1,3,1.857142857,2,4,2.714285714,3,0,0,0.265306122,0.692307692,7,9,0,2,0.777777778,0,2,0.777777778,1,3,1.555555556,3,1,0,0.086419753,0,63,2,2,2,14,2,2,2,14,MC2
13,7,1,3,1.857142857,1,3,1.857142857,2,4,2.714285714,3,0,0,0.265306122,0.692307692,7,9,0,2,0.777777778,0,2,0.777777778,1,3,1.555555556,3,1,0,0.086419753,0,63,2,2,2,14,2,2,2,14,MC2
25,8,2,4,3.125,1,5,3.125,3,8,5.25,2,0,0,0.390625,0.8,8,6,0,2,1.333333333,0,3,1.333333333,1,5,2.666666667,2,1,0,0.222222222,0.5,48,2,2,2,16,2,2,2,16,PLASMA
34,6,4,7,5.666666667,4,7,5.666666667,7,12,9.5,1,0,0,0.944444444,0.852941176,14,8,0,4,1.75,0,4,1.75,2,7,3.5,1,0,0,0.21875,0.428571429,48,3,3.166666667,4,19,3,3.166666667,4,19,PLASMA
17,7,1,4,2.428571429,2,3,2.428571429,2,6,3.857142857,2,2,0,0.346938776,0.882352941,8,7,0,4,1.142857143,0,3,1.142857143,1,4,2.285714286,1,1,0,0.163265306,0,49,2,2.142857143,3,15,2,2.142857143,3,15,PLASMA
16,8,2,2,2,2,2,2,3,3,3,4,0,0,0.25,1,8,8,1,1,1,1,1,1,2,2,2,4,0,0,0.125,1,64,2,2,2,16,2,2,2,16,PLASMA
17,8,1,3,2.125,1,3,2.125,2,5,3.25,1,5,0,0.265625,0.588235294,8,9,0,2,0.888888889,0,1,0.888888889,1,3,1.777777778,1,6,0,0.098765432,0,72,2,2,2,16,2,2,2,16,PLASMA
20,8,1,3,2.5,2,3,2.5,3,5,4,2,0,0,0.3125,0.6,8,7,0,2,1.142857143,0,2,1.142857143,1,3,2.285714286,2,0,0,0.163265306,0,56,2,2,2,16,2,2,2,16,PLASMA
18,7,1,4,2.571428571,1,4,2.571428571,2,6,3.857142857,2,1,0,0.367346939,0.722222222,10,10,0,2,1,0,2,1,1,4,2,2,2,0,0.1,0.2,70,2,2.428571429,3,17,2,2.428571429,3,17,PLASMA
13,7,1,2,1.857142857,1,3,1.857142857,1,3,2.571428571,3,0,0,0.265306122,0.615384615,8,10,0,1,0.8,0,2,0.8,1,2,1.6,3,0,0,0.08,0,70,2,2.142857143,3,15,2,2.142857143,3,15,PLASMA
19,8,1,4,2.375,1,4,2.375,2,5,3.75,3,0,0,0.296875,0.736842105,8,8,0,2,1,0,2,1,1,4,2,3,1,0,0.125,0.25,64,2,2,2,16,2,2,2,16,PLASMA
48,8,5,7,6,2,10,6,6,15,10.5,1,0,0,0.75,0.708333333,16,9,0,4,1.777777778,0,4,1.777777778,2,8,3.555555556,1,0,0,0.197530864,0.5,72,3,3,3,24,3,3,3,24,PLASMA
27,7,1,5,3.857142857,2,5,3.857142857,2,8,6.142857143,1,1,0,0.551020408,0.851851852,23,11,0,6,2.090909091,0,5,2.090909091,1,6,4.181818182,1,1,0,0.190082645,0,77,2,3.571428571,5,25,2,3.571428571,5,25,MC2
29,9,2,5,3.222222222,2,6,3.222222222,3,9,5.333333333,1,0,0,0.358024691,0.75862069,11,7,1,3,1.571428571,1,3,1.571428571,2,4,3.142857143,1,0,0,0.224489796,0.545454545,63,2,2.222222222,3,20,2,2.222222222,3,20,PLASMA
7,7,1,1,1,1,1,1,1,1,1,7,0,0,0.142857143,1,7,14,0,1,0.5,0,1,0.5,1,1,1,7,0,0,0.035714286,0,98,2,2,2,14,2,2,2,14,MC2
29,9,1,4,3.222222222,2,6,3.222222222,3,9,5.444444444,2,0,0,0.358024691,0.724137931,9,7,0,2,1.285714286,0,4,1.285714286,1,6,2.571428571,2,1,0,0.183673469,0.222222222,63,2,2,2,18,2,2,2,18,MC2
56,10,4,8,5.6,2,7,5.6,6,14,10.2,1,0,0,0.56,0.75,10,5,0,4,2,1,3,2,2,7,4,1,2,0,0.4,0.6,50,2,2,2,20,2,2,2,20,PLASMA
30,8,2,5,3.75,1,7,3.75,3,10,6.375,1,0,0,0.46875,0.7,10,8,0,3,1.25,0,2,1.25,1,5,2.5,1,3,0,0.15625,0.4,64,2,2.25,3,18,2,2.25,3,18,PLASMA
32,8,2,6,4,1,8,4,3,11,6.875,1,0,0,0.5,0.65625,11,8,0,4,1.375,0,3,1.375,1,5,2.75,1,2,0,0.171875,0.363636364,64,2,2.375,3,19,2,2.375,3,19,PLASMA
17,8,1,3,2.125,1,3,2.125,2,4,3.25,3,0,0,0.265625,0.705882353,8,11,0,2,0.727272727,0,1,0.727272727,1,3,1.454545455,3,1,0,0.066115702,0,88,2,2,2,16,2,2,2,16,MC2
23,8,2,4,2.875,1,6,2.875,2,7,4.5,2,1,0,0.359375,0.695652174,10,11,0,2,0.909090909,0,3,0.909090909,1,4,1.818181818,2,3,0,0.082644628,0,88,2,2.25,4,18,2,2.25,4,18,PLASMA
23,8,2,4,2.875,1,6,2.875,2,7,4.5,2,1,0,0.359375,0.695652174,10,11,0,2,0.909090909,0,3,0.909090909,1,4,1.818181818,2,3,0,0.082644628,0,88,2,2.25,4,18,2,2.25,4,18,PLASMA
15,8,1,3,1.875,1,3,1.875,2,5,2.75,3,1,0,0.234375,0.666666667,8,11,0,2,0.727272727,0,1,0.727272727,1,3,1.454545455,3,2,0,0.066115702,0,88,2,2,2,16,2,2,2,16,PLASMA
41,8,2,8,5.125,1,9,5.125,2,15,8.875,1,1,0,0.640625,0.707317073,13,10,0,4,1.3,0,2,1.3,1,6,2.6,1,5,0,0.13,0.153846154,80,2,2.625,3,21,2,2.625,3,21,PLASMA
35,10,2,5,3.5,1,5,3.5,3,8,6,1,0,0,0.35,0.628571429,10,6,1,3,1.666666667,0,4,1.666666667,1,5,3.333333333,1,1,0,0.277777778,0.2,60,2,2,2,20,2,2,2,20,PLASMA
38,10,3,5,3.8,2,5,3.8,4,9,6.6,1,0,0,0.38,0.736842105,10,6,1,3,1.666666667,1,2,1.666666667,2,5,3.333333333,1,2,0,0.277777778,0.8,60,2,2,2,20,2,2,2,20,PLASMA
21,7,1,5,3,2,5,3,2,8,4.571428571,1,3,0,0.428571429,0.761904762,10,10,0,3,1,0,2,1,1,3,2,1,5,0,0.1,0,70,2,2.428571429,3,17,2,2.428571429,3,17,PLASMA
32,8,2,6,4,2,7,4,4,9,6.5,1,0,0,0.5,0.625,14,9,0,3,1.555555556,0,3,1.555555556,1,5,3.111111111,1,1,0,0.172839506,0,72,2,2.75,3,22,2,2.75,3,22,PLASMA
30,9,1,7,3.333333333,2,5,3.333333333,2,10,5.333333333,1,2,0,0.37037037,0.8,17,10,0,4,1.7,0,4,1.7,2,5,3.4,1,0,0,0.17,0.117647059,90,2,2.666666667,4,24,2,2.666666667,4,24,PLASMA
