NG_NumOfSpecies,NG_NumOfReactions,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
12,12,144,2,2,2,24,2,2,2,24,PLASMA
12,12,144,2,2,2,24,2,2,2,24,PLASMA
13,11,143,2,2,2,22,2,2,2,22,PLASMA
13,11,143,2,2.454545455,3,27,2,2.454545455,3,27,PLASMA
13,11,143,2,2.454545455,3,27,2,2.454545455,3,27,PLASMA
9,12,108,3,3,3,36,3,3,3,36,PLASMA
13,11,143,2,3,4,33,2,3,4,33,PLASMA
14,11,154,2,2.727272727,3,30,2,2.727272727,3,30,PLASMA
12,9,108,2,2.777777778,5,25,2,2.777777778,5,25,PLASMA
13,12,156,2,2.166666667,3,26,2,2.166666667,3,26,PLASMA
13,12,156,2,2.166666667,3,26,2,2.166666667,3,26,PLASMA
14,10,140,2,3.3,4,33,2,3.3,4,33,PLASMA
10,12,120,2,2.25,3,27,2,2.25,3,27,PLASMA
13,11,143,2,2.818181818,4,31,2,2.818181818,4,31,PLASMA
17,10,170,3,3,3,30,3,3,3,30,PLASMA
13,12,156,2,2,2,24,2,2,2,24,PLASMA
13,12,156,2,2,2,24,2,2,2,24,PLASMA
15,9,135,2,3,5,27,2,3,5,27,PLASMA
12,12,144,2,2,2,24,2,2,2,24,PLASMA
13,13,169,2,2.153846154,3,28,2,2.153846154,3,28,PLASMA
16,12,192,2,2.083333333,3,25,2,2.083333333,3,25,PLASMA
11,13,143,2,2.153846154,3,28,2,2.153846154,3,28,PLASMA
15,12,180,2,2.083333333,3,25,2,2.083333333,3,25,PLASMA
18,12,216,2,2,2,24,2,2,2,24,PLASMA
13,13,169,2,2.461538462,4,32,2,2.461538462,4,32,PLASMA
14,13,182,2,2.076923077,3,27,2,2.076923077,3,27,PLASMA
20,10,200,2,3.9,6,39,2,3.9,6,39,PLASMA
16,13,208,2,2,2,26,2,2,2,26,PLASMA
13,14,182,2,2.428571429,4,34,2,2.428571429,4,34,PLASMA
16,13,208,2,2,2,26,2,2,2,26,PLASMA
16,12,192,2,3.583333333,6,43,2,3.583333333,6,43,PLASMA
15,14,210,2,2,2,28,2,2,2,28,PLASMA
13,15,195,2,2.4,4,36,2,2.4,4,36,PLASMA
16,14,224,2,2,2,28,2,2,2,28,PLASMA
10,16,160,2,2.6875,3,43,2,2.6875,3,43,PLASMA
16,15,240,2,2,2,30,2,2,2,30,PLASMA
12,17,204,2,2,2,34,2,2,2,34,PLASMA
14,10,140,2,2.6,3,26,2,2.6,3,26,PLASMA
10,17,170,2,2.117647059,3,36,2,2.117647059,3,36,MC2
13,16,208,2,2.75,3,44,2,2.75,3,44,PLASMA
13,16,208,2,2.375,3,38,2,2.375,3,38,PLASMA
14,16,224,2,2.5625,4,41,2,2.5625,4,41,PLASMA
18,14,252,2,2.714285714,4,38,2,2.714285714,4,38,PLASMA
18,14,252,2,2,2,28,2,2,2,28,PLASMA
17,11,187,2,2.818181818,3,31,2,2.818181818,3,31,PLASMA
21,14,294,2,2,2,28,2,2,2,28,PLASMA
13,17,221,2,2.470588235,3,42,2,2.470588235,3,42,PLASMA
18,15,270,2,2,2,30,2,2,2,30,PLASMA
26,13,338,2,2,2,26,2,2,2,26,MC2
18,16,288,2,2,2,32,2,2,2,32,PLASMA
16,15,240,2,3.2,4,48,2,3.2,4,48,PLASMA
17,16,272,2,2.375,3,38,2,2.375,3,38,PLASMA
21,14,294,2,2,2,28,2,2,2,28,PLASMA
17,15,255,2,2.533333333,3,38,2,2.533333333,3,38,PLASMA
14,18,252,2,2,2,36,2,2,2,36,PLASMA
19,14,266,2,3.5,6,49,2,3.5,6,49,PLASMA
18,14,252,2,3.071428571,4,43,2,3.071428571,4,43,PLASMA
14,10,140,2,3,4,30,2,3,4,30,PLASMA
18,17,306,2,2,2,34,2,2,2,34,PLASMA
23,15,345,2,2,2,30,2,2,2,30,PLASMA
19,17,323,2,2.117647059,3,36,2,2.117647059,3,36,PLASMA
13,18,234,2,2,2,36,2,2,2,36,MC2
21,15,315,2,2.466666667,3,37,2,2.466666667,3,37,PLASMA
19,16,304,2,2,2,32,2,2,2,32,PLASMA
21,15,315,2,2.8,4,42,2,2.8,4,42,PLASMA
18,18,324,2,2,2,36,2,2,2,36,PLASMA
22,16,352,2,3.0625,5,49,2,3.0625,5,49,PLASMA
16,17,272,2,2.823529412,3,48,2,2.823529412,3,48,PLASMA
21,17,357,2,2,2,34,2,2,2,34,PLASMA
22,16,352,2,3.1875,6,51,2,3.1875,6,51,PLASMA
14,18,252,3,3,3,54,3,3,3,54,PLASMA
18,18,324,2,2,2,36,2,2,2,36,PLASMA
