SpeciesG_PD_Vertices,SpeciesG_PD_Edges,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeSUM,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeSUM,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeSUM,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PD_Vertices,ReactionG_PD_Edges,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMEAN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeSUM,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeSUM,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeSUM,ReactionG_PD_Density,ReactionG_PD_Reciprocity,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,NG_NumOfNONConstantSpecies,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,SSA
38,50,0,1.315789474,3,50,0,1.315789474,3,50,1,2.631578947,6,100,0.034626039,0.24,4,2,1,48,192,1,4,10,192,2,4,9,192,3,6.958333333,17,334,0.083333333,0.739583333,4,1,0,38,1824,2,2.041666667,3,98,pdm
46,59,0,1.282608696,3,59,0,1.282608696,3,59,1,2.565217391,6,118,0.027882798,0.203389831,6,2,1,57,218,1,3.824561404,10,218,2,3.824561404,9,218,3,6.614035088,17,377,0.067097568,0.73853211,6,1,0,46,2622,2,2.035087719,3,116,pdm
11,13,0,1.181818182,2,13,0,1.181818182,3,13,1,2.363636364,5,26,0.107438017,0.153846154,2,4,3,8,26,1,3.25,7,26,1,3.25,5,26,1,5.25,9,42,0.40625,0.692307692,2,2,1,11,88,2,2.625,4,21,ldm
3,2,0,0.666666667,1,2,0,0.666666667,1,2,1,1.333333333,2,4,0.222222222,0,1,2,1,2,3,1,1.5,2,3,1,1.5,2,3,2,2,2,4,0.75,0.666666667,1,1,0,3,6,2,2,2,4,pdm
9,7,0,0.777777778,2,7,0,0.777777778,1,7,1,1.555555556,3,14,0.086419753,0,2,5,3,5,10,1,2,3,10,1,2,3,10,2,2.6,3,13,0.4,0.7,2,2,1,9,45,2,2.4,3,12,pdm
38,50,0,1.315789474,3,50,0,1.315789474,3,50,1,2.631578947,6,100,0.034626039,0.24,4,2,1,48,192,1,4,10,192,2,4,9,192,3,6.958333333,17,334,0.083333333,0.739583333,4,1,0,38,1824,2,2.041666667,3,98,pdm
9,6,0,0.666666667,1,6,0,0.666666667,1,6,1,1.333333333,2,12,0.074074074,0,3,2,1,6,9,1,1.5,2,9,1,1.5,2,9,2,2,2,12,0.25,0.666666667,3,1,0,9,54,2,2,2,12,odm
10,11,0,1.1,3,11,0,1.1,2,11,1,2.2,4,22,0.11,0,1,5,3,6,16,2,2.666666667,5,16,2,2.666666667,3,16,3,3.833333333,6,23,0.444444444,0.5625,1,2,1,10,60,2,2.833333333,3,17,odm
21,22,0,1.047619048,3,22,0,1.047619048,3,22,1,2.095238095,5,44,0.049886621,0.090909091,2,6,4,15,52,2,3.466666667,5,52,1,3.466666667,6,52,2,5.533333333,9,83,0.231111111,0.75,2,3,2,21,315,2,2.466666667,3,37,pdm
10,11,0,1.1,3,11,0,1.1,2,11,1,2.2,4,22,0.11,0,1,5,3,6,16,2,2.666666667,5,16,2,2.666666667,3,16,3,3.833333333,6,23,0.444444444,0.5625,1,2,1,10,60,2,2.833333333,3,17,odm
